Country or Area,Value,Year,Item
Afghanistan,7.9976602,2017,Central Government Debt (Percent of GDP)
Albania,70.118725,2017,Central Government Debt (Percent of GDP)
Algeria,27.259228,2017,Central Government Debt (Percent of GDP)
Angola,69.264947,2017,Central Government Debt (Percent of GDP)
Antigua and Barbuda,92.322144,2017,Central Government Debt (Percent of GDP)
Argentina,57.027842,2017,Central Government Debt (Percent of GDP)
Armenia,53.704434,2017,Central Government Debt (Percent of GDP)
Australia,32.26376,2017,Central Government Debt (Percent of GDP)
Austria,57.046286,2017,Central Government Debt (Percent of GDP)
Azerbaijan,22.508608,2017,Central Government Debt (Percent of GDP)
"Bahamas, The",52.37688,2017,Central Government Debt (Percent of GDP)
Bahrain,88.138294,2017,Central Government Debt (Percent of GDP)
Bangladesh,33.376308,2017,Central Government Debt (Percent of GDP)
Barbados,159.12634,2017,Central Government Debt (Percent of GDP)
Belarus,47.214587,2017,Central Government Debt (Percent of GDP)
Belgium,86.807024,2017,Central Government Debt (Percent of GDP)
Belize,104.39668,2017,Central Government Debt (Percent of GDP)
Benin,39.598463,2017,Central Government Debt (Percent of GDP)
Bhutan,111.72426,2017,Central Government Debt (Percent of GDP)
Bolivia,32.872792,2017,Central Government Debt (Percent of GDP)
Bosnia and Herzegovina,39.239713,2017,Central Government Debt (Percent of GDP)
Botswana,13.587866,2017,Central Government Debt (Percent of GDP)
Brazil,78.634705,2017,Central Government Debt (Percent of GDP)
Brunei Darussalam,2.8255071,2017,Central Government Debt (Percent of GDP)
Bulgaria,30.916218,2017,Central Government Debt (Percent of GDP)
Burkina Faso,33.49818,2017,Central Government Debt (Percent of GDP)
Burundi,44.719681,2017,Central Government Debt (Percent of GDP)
Cabo Verde,127.2179,2017,Central Government Debt (Percent of GDP)
Cameroon,30.636107,2017,Central Government Debt (Percent of GDP)
Canada,39.312047,2017,Central Government Debt (Percent of GDP)
Central African Republic,50.274905,2017,Central Government Debt (Percent of GDP)
Chad,50.268413,2017,Central Government Debt (Percent of GDP)
Chile,23.598361,2017,Central Government Debt (Percent of GDP)
Colombia,38.292192,2017,Central Government Debt (Percent of GDP)
Comoros,18.445088,2017,Central Government Debt (Percent of GDP)
"Congo, Republic of ",94.224079,2017,Central Government Debt (Percent of GDP)
Costa Rica,48.40898,2017,Central Government Debt (Percent of GDP)
Croatia,76.465517,2017,Central Government Debt (Percent of GDP)
Cyprus,132.92165,2017,Central Government Debt (Percent of GDP)
Czech Republic,31.790197,2017,Central Government Debt (Percent of GDP)
Côte d'Ivoire,36.854435,2017,Central Government Debt (Percent of GDP)
Denmark,29.528643,2017,Central Government Debt (Percent of GDP)
Djibouti,48.184007,2017,Central Government Debt (Percent of GDP)
Dominica,84.601798,2017,Central Government Debt (Percent of GDP)
Dominican Republic,36.050575,2017,Central Government Debt (Percent of GDP)
Ecuador,41.307584,2017,Central Government Debt (Percent of GDP)
Egypt,no data,2017,Central Government Debt (Percent of GDP)
El Salvador,48.748778,2017,Central Government Debt (Percent of GDP)
Equatorial Guinea,36.235134,2017,Central Government Debt (Percent of GDP)
Eritrea,202.53609,2017,Central Government Debt (Percent of GDP)
Estonia,10.179082,2017,Central Government Debt (Percent of GDP)
Eswatini,25.441843,2017,Central Government Debt (Percent of GDP)
Fiji,43.745334,2017,Central Government Debt (Percent of GDP)
Finland,51.034599,2017,Central Government Debt (Percent of GDP)
France,79.739096,2017,Central Government Debt (Percent of GDP)
Gabon,62.885656,2017,Central Government Debt (Percent of GDP)
"Gambia, The",87.0077,2017,Central Government Debt (Percent of GDP)
Germany,41.441197,2017,Central Government Debt (Percent of GDP)
Ghana,58.306325,2017,Central Government Debt (Percent of GDP)
Greece,182.39235,2017,Central Government Debt (Percent of GDP)
Grenada,70.108963,2017,Central Government Debt (Percent of GDP)
Guatemala,25.170941,2017,Central Government Debt (Percent of GDP)
Guinea,40.48273,2017,Central Government Debt (Percent of GDP)
Guinea-Bissau,50.734337,2017,Central Government Debt (Percent of GDP)
Guyana,38.908775,2017,Central Government Debt (Percent of GDP)
Haiti,37.970147,2017,Central Government Debt (Percent of GDP)
Honduras,47.494192,2017,Central Government Debt (Percent of GDP)
Hong Kong SAR,6.9899225,2017,Central Government Debt (Percent of GDP)
Hungary,72.144093,2017,Central Government Debt (Percent of GDP)
Iceland,43.361919,2017,Central Government Debt (Percent of GDP)
India,44.251273,2017,Central Government Debt (Percent of GDP)
Indonesia,29.398831,2017,Central Government Debt (Percent of GDP)
Iran,38.186745,2017,Central Government Debt (Percent of GDP)
Iraq,58.887294,2017,Central Government Debt (Percent of GDP)
Ireland,70.483446,2017,Central Government Debt (Percent of GDP)
Israel,58.855503,2017,Central Government Debt (Percent of GDP)
Italy,129.53382,2017,Central Government Debt (Percent of GDP)
Jamaica,103.0303,2017,Central Government Debt (Percent of GDP)
Japan,196.51577,2017,Central Government Debt (Percent of GDP)
Jordan,76.022151,2017,Central Government Debt (Percent of GDP)
Kazakhstan,18.74503,2017,Central Government Debt (Percent of GDP)
Kenya,56.88124,2017,Central Government Debt (Percent of GDP)
Kiribati,21.42312,2017,Central Government Debt (Percent of GDP)
"Korea, Republic of",34.177733,2017,Central Government Debt (Percent of GDP)
Kosovo,16.232186,2017,Central Government Debt (Percent of GDP)
Kuwait,20.485107,2017,Central Government Debt (Percent of GDP)
Kyrgyz Republic,58.786107,2017,Central Government Debt (Percent of GDP)
Lao P.D.R.,57.198237,2017,Central Government Debt (Percent of GDP)
Latvia,36.193131,2017,Central Government Debt (Percent of GDP)
Lebanon,149.66762,2017,Central Government Debt (Percent of GDP)
Lesotho,38.005436,2017,Central Government Debt (Percent of GDP)
Liberia,33.900935,2017,Central Government Debt (Percent of GDP)
Libya,142.70911,2017,Central Government Debt (Percent of GDP)
Lithuania,37.880684,2017,Central Government Debt (Percent of GDP)
Luxembourg,16.208624,2017,Central Government Debt (Percent of GDP)
Madagascar,40.031314,2017,Central Government Debt (Percent of GDP)
Malawi,57.074026,2017,Central Government Debt (Percent of GDP)
Malaysia,50.049672,2017,Central Government Debt (Percent of GDP)
Maldives,61.299443,2017,Central Government Debt (Percent of GDP)
Mali,35.985158,2017,Central Government Debt (Percent of GDP)
Malta,46.158271,2017,Central Government Debt (Percent of GDP)
Mauritania,55.099685,2017,Central Government Debt (Percent of GDP)
Mexico,35.206191,2017,Central Government Debt (Percent of GDP)
Moldova,28.879742,2017,Central Government Debt (Percent of GDP)
Mongolia,72.460001,2017,Central Government Debt (Percent of GDP)
Montenegro,61.126178,2017,Central Government Debt (Percent of GDP)
Morocco,65.105501,2017,Central Government Debt (Percent of GDP)
Mozambique,102.44277,2017,Central Government Debt (Percent of GDP)
Myanmar,38.470072,2017,Central Government Debt (Percent of GDP)
Namibia,44.052867,2017,Central Government Debt (Percent of GDP)
Nepal,26.086795,2017,Central Government Debt (Percent of GDP)
New Zealand,31.266897,2017,Central Government Debt (Percent of GDP)
Nicaragua,34.080358,2017,Central Government Debt (Percent of GDP)
Niger,39.529516,2017,Central Government Debt (Percent of GDP)
Nigeria,15.985781,2017,Central Government Debt (Percent of GDP)
North Macedonia ,39.293653,2017,Central Government Debt (Percent of GDP)
Norway,15.841775,2017,Central Government Debt (Percent of GDP)
Oman,46.416048,2017,Central Government Debt (Percent of GDP)
