Country or Area,Item,Year,Value
Aruba,"International tourism, number of arrivals",2018,1897000
Aruba,"International tourism, number of arrivals",2019,1951000
Aruba,"International tourism, number of arrivals",2020,
Africa Eastern and Southern,"International tourism, number of arrivals",2018,41189145.2687099
Africa Eastern and Southern,"International tourism, number of arrivals",2019,39826701.4025488
Africa Eastern and Southern,"International tourism, number of arrivals",2020,
Afghanistan,"International tourism, number of arrivals",2018,
Afghanistan,"International tourism, number of arrivals",2019,
Afghanistan,"International tourism, number of arrivals",2020,
Africa Western and Central,"International tourism, number of arrivals",2018,
Africa Western and Central,"International tourism, number of arrivals",2019,
Africa Western and Central,"International tourism, number of arrivals",2020,
Angola,"International tourism, number of arrivals",2018,218000
Angola,"International tourism, number of arrivals",2019,218000
Angola,"International tourism, number of arrivals",2020,
Albania,"International tourism, number of arrivals",2018,5927000
Albania,"International tourism, number of arrivals",2019,6406000
Albania,"International tourism, number of arrivals",2020,
Andorra,"International tourism, number of arrivals",2018,8328000
Andorra,"International tourism, number of arrivals",2019,8235000
Andorra,"International tourism, number of arrivals",2020,
Arab World,"International tourism, number of arrivals",2018,109134074.924429
Arab World,"International tourism, number of arrivals",2019,116080347.451054
Arab World,"International tourism, number of arrivals",2020,
United Arab Emirates,"International tourism, number of arrivals",2018,21286000
United Arab Emirates,"International tourism, number of arrivals",2019,21553000
United Arab Emirates,"International tourism, number of arrivals",2020,
Argentina,"International tourism, number of arrivals",2018,6942000
Argentina,"International tourism, number of arrivals",2019,7399000
Argentina,"International tourism, number of arrivals",2020,
Armenia,"International tourism, number of arrivals",2018,1652000
Armenia,"International tourism, number of arrivals",2019,1894000
Armenia,"International tourism, number of arrivals",2020,
American Samoa,"International tourism, number of arrivals",2018,51799.9992370605
American Samoa,"International tourism, number of arrivals",2019,52700.0007629395
American Samoa,"International tourism, number of arrivals",2020,
Antigua and Barbuda,"International tourism, number of arrivals",2018,1064000
Antigua and Barbuda,"International tourism, number of arrivals",2019,1035000
Antigua and Barbuda,"International tourism, number of arrivals",2020,
Australia,"International tourism, number of arrivals",2018,9246000
Australia,"International tourism, number of arrivals",2019,9466000
Australia,"International tourism, number of arrivals",2020,
Austria,"International tourism, number of arrivals",2018,30816000
Austria,"International tourism, number of arrivals",2019,31884000
