country_code,gdp,tourism,unemployment,gdp_growth,debt_rate,vaccination,death_rate,cluster
AFG,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0
AGO,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0
ALB,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4
ARM,1.0,1.0,6.0,0.0,0.0,3.0,0.0,0
BDI,1.0,1.0,3.0,4.0,0.0,1.0,1.0,3
BEN,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3
BFA,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3
BGD,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0
BLZ,1.0,1.0,0.0,0.0,3.0,6.0,3.0,0
BOL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
BTN,1.0,1.0,1.0,1.0,3.0,7.0,1.0,3
CAF,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
CIV,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
CMR,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0
COD,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
COG,1.0,1.0,4.0,0.0,0.0,1.0,1.0,3
COM,1.0,1.0,0.0,0.0,4.0,2.0,2.0,0
CPV,1.0,1.0,4.0,3.0,5.0,6.0,0.0,0
DJI,1.0,0.0,4.0,2.0,0.0,1.0,2.0,0
DZA,1.0,1.0,4.0,0.0,2.0,3.0,1.0,3
EGY,1.0,0.0,4.0,2.0,0.0,3.0,2.0,5
ETH,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3
FSM,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0
GEO,1.0,2.0,7.0,0.0,0.0,2.0,0.0,1
GHA,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0
GIN,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0
GMB,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0
GNB,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3
GTM,1.0,1.0,1.0,0.0,0.0,2.0,4.0,3
HND,1.0,1.0,2.0,0.0,0.0,2.0,4.0,1
HTI,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
IDN,1.0,0.0,0.0,2.0,0.0,2.0,0.0,5
IND,1.0,0.0,2.0,0.0,1.0,0.0,2.0,7
JOR,1.0,2.0,0.0,0.0,3.0,0.0,3.0,4
KEN,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3
