country_code,vaccination,death_rate,cluster
AFG,1.0,1.0,2
AGO,1.0,1.0,2
ALB,0.0,3.0,7
ARM,1.0,5.0,2
BDI,1.0,1.0,2
BEN,1.0,1.0,2
BFA,1.0,1.0,2
BGD,0.0,1.0,6
BLZ,0.0,3.0,7
BOL,0.0,0.0,0
BTN,0.0,1.0,6
CAF,1.0,1.0,2
CIV,1.0,0.0,0
CMR,1.0,1.0,2
COD,1.0,0.0,0
COG,1.0,1.0,2
COM,0.0,1.0,6
CPV,5.0,0.0,0
DJI,1.0,1.0,2
DZA,0.0,1.0,6
EGY,1.0,1.0,2
ETH,1.0,1.0,2
FSM,1.0,0.0,0
GEO,0.0,0.0,0
GHA,1.0,1.0,2
GIN,1.0,1.0,2
GMB,1.0,1.0,2
GNB,1.0,1.0,2
GTM,0.0,2.0,0
HND,3.0,3.0,5
HTI,1.0,1.0,2
IDN,3.0,0.0,1
IND,0.0,0.0,0
JOR,0.0,3.0,7
KEN,1.0,1.0,2
KGZ,0.0,0.0,0
KHM,0.0,1.0,6
KIR,0.0,1.0,6
LAO,0.0,0.0,0
LBR,1.0,1.0,2
LKA,5.0,0.0,0
LSO,1.0,1.0,2
MAR,7.0,0.0,0
MDA,0.0,0.0,0
MDG,1.0,1.0,2
MHL,1.0,0.0,0
MLI,1.0,1.0,2
MMR,1.0,1.0,2
MNG,2.0,0.0,3
MOZ,1.0,1.0,2
MRT,1.0,1.0,2
MWI,1.0,1.0,2
NER,1.0,1.0,2
NGA,1.0,1.0,2
NIC,1.0,1.0,2
NPL,3.0,0.0,1
PAK,0.0,1.0,6
PHL,0.0,0.0,0
PNG,1.0,1.0,2
PSE,3.0,0.0,1
RWA,0.0,1.0,6
SDN,1.0,1.0,2
SEN,1.0,1.0,2
SLB,1.0,1.0,2
SLE,1.0,1.0,2
SLV,7.0,2.0,0
SSD,1.0,1.0,2
STP,0.0,1.0,6
SWZ,0.0,3.0,7
TCD,1.0,1.0,2
TGO,1.0,1.0,2
TJK,0.0,1.0,6
TLS,0.0,0.0,0
TON,0.0,0.0,0
TUN,0.0,0.0,0
TUV,0.0,0.0,0
TZA,1.0,0.0,0
UGA,1.0,1.0,2
UKR,0.0,0.0,0
UZB,3.0,1.0,8
VNM,0.0,0.0,0
VUT,0.0,1.0,6
WSM,0.0,1.0,6
YEM,1.0,1.0,2
ZMB,1.0,1.0,2
ZWE,0.0,1.0,6
ARG,0.0,4.0,0
ATG,0.0,2.0,0
BRB,0.0,0.0,0
CHL,0.0,5.0,0
ERI,1.0,1.0,2
EST,0.0,3.0,7
GNQ,0.0,1.0,6
HRV,0.0,4.0,0
HUN,6.0,6.0,0
KNA,0.0,1.0,6
LTU,2.0,4.0,3
LVA,0.0,0.0,0
MNP,0.0,0.0,0
OMN,5.0,2.0,0
PAN,0.0,5.0,0
PLW,1.0,1.0,2
POL,0.0,4.0,0
RUS,0.0,0.0,0
SVK,0.0,4.0,0
SYC,8.0,0.0,0
TTO,0.0,0.0,0
URY,4.0,0.0,0
VEN,0.0,0.0,0
BHR,6.0,2.0,0
BHS,3.0,3.0,5
CUW,2.0,0.0,3
CYP,2.0,2.0,3
CZE,2.0,6.0,3
ESP,4.0,0.0,0
GRC,2.0,0.0,3
KOR,0.0,0.0,0
MLT,0.0,3.0,7
PRI,0.0,0.0,0
PRT,4.0,4.0,4
SAU,0.0,1.0,6
SVN,0.0,4.0,0
TCA,6.0,0.0,0
AUT,2.0,0.0,3
CAN,4.0,3.0,4
FIN,4.0,1.0,4
NLD,2.0,0.0,3
SWE,2.0,0.0,3
CHE,2.0,0.0,3
NOR,2.0,1.0,2
QAT,4.0,1.0,4
LIE,2.0,0.0,3
MCO,2.0,3.0,3
BMU,6.0,5.0,0
IRL,2.0,0.0,3
ABW,0.0,1.0,6
ASM,0.0,0.0,0
BIH,0.0,6.0,0
BRN,5.0,0.0,0
DMA,0.0,0.0,0
ECU,5.0,5.0,0
FJI,0.0,0.0,0
GRD,3.0,0.0,1
GUM,0.0,0.0,0
GUY,0.0,0.0,0
ISL,4.0,1.0,4
LBN,3.0,0.0,1
LCA,3.0,0.0,1
LUX,2.0,0.0,3
MDV,6.0,0.0,0
MKD,0.0,0.0,0
MNE,0.0,0.0,0
MUS,0.0,1.0,6
NCL,0.0,0.0,0
PYF,0.0,0.0,0
SRB,0.0,0.0,0
SUR,0.0,0.0,0
VCT,3.0,1.0,8
VGB,2.0,1.0,2
AND,2.0,0.0,3
AUS,0.0,1.0,6
BEL,4.0,0.0,0
BRA,0.0,0.0,0
DOM,0.0,2.0,0
IRN,3.0,0.0,1
KAZ,0.0,2.0,0
KWT,7.0,2.0,0
ARE,0.0,1.0,6
SGP,4.0,1.0,4
ZAF,0.0,0.0,0
DEU,2.0,0.0,3
GBR,6.0,0.0,0
MAC,7.0,0.0,0
TUR,0.0,2.0,0
HKG,7.0,0.0,0
ITA,2.0,0.0,3
MEX,0.0,0.0,0
FRA,2.0,0.0,3
CHN,0.0,1.0,6
AZE,0.0,2.0,0
BLR,0.0,0.0,0
DNK,4.0,2.0,4
ISR,8.0,3.0,5
NZL,5.0,1.0,2
PRY,0.0,0.0,0
ROU,0.0,4.0,0
THA,0.0,1.0,6
SOM,1.0,1.0,2
BGR,3.0,0.0,1
